,TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Product Name,StoreName
0,TR11369,328,01/01/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
1,TR36491,117,03/01/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
2,TR4331,335,08/01/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
3,TR6445,181,10/01/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
4,TR75889,154,19/01/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
5,TR20045,243,20/01/2022,P3,7500,1,7500,12,Crackers,Prestasi Utama
6,TR40337,168,23/01/2022,P3,7500,2,15000,12,Crackers,Prestasi Utama
7,TR91120,114,23/01/2022,P3,7500,6,45000,12,Crackers,Prestasi Utama
8,TR90300,57,02/02/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
9,TR72053,28,03/02/2022,P3,7500,6,45000,12,Crackers,Prestasi Utama
10,TR70798,428,04/02/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
11,TR61464,231,20/02/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
12,TR26577,435,27/02/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama
13,TR93040,346,01/03/2022,P3,7500,2,15000,12,Crackers,Prestasi Utama
14,TR38909,285,04/03/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
15,TR78728,258,07/03/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama
16,TR41225,336,16/03/2022,P3,7500,1,7500,12,Crackers,Prestasi Utama
17,TR53260,214,17/03/2022,P3,7500,1,7500,12,Crackers,Prestasi Utama
18,TR12061,189,28/03/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama
19,TR89889,397,06/04/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
20,TR62440,430,16/04/2022,P3,7500,6,45000,12,Crackers,Prestasi Utama
21,TR47996,150,03/05/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
22,TR90060,309,06/05/2022,P3,7500,2,15000,12,Crackers,Prestasi Utama
23,TR40506,414,17/05/2022,P3,7500,6,45000,12,Crackers,Prestasi Utama
24,TR81730,39,30/05/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
25,TR69289,401,03/06/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
26,TR70264,361,03/06/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
27,TR86261,360,16/06/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
28,TR97236,255,08/07/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
29,TR89318,183,17/07/2022,P3,7500,1,7500,12,Crackers,Prestasi Utama
30,TR71806,149,18/07/2022,P3,7500,1,7500,12,Crackers,Prestasi Utama
31,TR132,25,20/08/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
32,TR11644,293,30/08/2022,P3,7500,1,7500,12,Crackers,Prestasi Utama
33,TR4319,329,30/08/2022,P3,7500,6,45000,12,Crackers,Prestasi Utama
34,TR6832,423,30/08/2022,P3,7500,6,45000,12,Crackers,Prestasi Utama
35,TR74741,234,30/08/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama
36,TR16421,316,04/09/2022,P3,7500,2,15000,12,Crackers,Prestasi Utama
37,TR56383,431,13/09/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama
38,TR9106,123,26/09/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
39,TR79608,337,14/10/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
40,TR85256,12,25/10/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama
41,TR96509,39,03/11/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
42,TR22929,301,05/11/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama
43,TR64717,129,14/11/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
44,TR40755,423,15/11/2022,P3,7500,4,30000,12,Crackers,Prestasi Utama
45,TR39272,176,21/12/2022,P3,7500,5,37500,12,Crackers,Prestasi Utama
46,TR98841,332,29/12/2022,P3,7500,3,22500,12,Crackers,Prestasi Utama
47,TR28506,230,07/01/2022,P9,10000,3,30000,12,Yoghurt,Prestasi Utama
48,TR33794,169,20/01/2022,P9,10000,6,60000,12,Yoghurt,Prestasi Utama
49,TR40627,101,03/02/2022,P9,10000,7,70000,12,Yoghurt,Prestasi Utama
50,TR96509,298,08/02/2022,P9,10000,7,70000,12,Yoghurt,Prestasi Utama
51,TR38231,384,16/02/2022,P9,10000,7,70000,12,Yoghurt,Prestasi Utama
52,TR46326,165,22/02/2022,P9,10000,7,70000,12,Yoghurt,Prestasi Utama
53,TR54176,13,24/02/2022,P9,10000,1,10000,12,Yoghurt,Prestasi Utama
54,TR10884,300,02/03/2022,P9,10000,1,10000,12,Yoghurt,Prestasi Utama
55,TR79620,212,04/03/2022,P9,10000,4,40000,12,Yoghurt,Prestasi Utama
56,TR48377,294,09/03/2022,P9,10000,1,10000,12,Yoghurt,Prestasi Utama
57,TR374,57,30/03/2022,P9,10000,7,70000,12,Yoghurt,Prestasi Utama
58,TR72876,434,07/05/2022,P9,10000,7,70000,12,Yoghurt,Prestasi Utama
59,TR48241,85,18/05/2022,P9,10000,4,40000,12,Yoghurt,Prestasi Utama
